t,i,j,k,v,q
2022,156,36,970610,1584.708,           NA
2022,156,40,970610,0.275,           NA
2022,156,116,970610,5850.0,        1.318
2022,156,124,970610,1272.767,           NA
2022,156,152,970610,21.004,        1.461
2022,156,203,970610,1.773,        0.001
2022,156,246,970610,3.897,        0.008
2022,156,251,970610,5.665,        0.009
2022,156,276,970610,55.571,        0.171
2022,156,344,970610,70115.621,        1.877
2022,156,372,970610,196.718,        0.093
2022,156,380,970610,33.887,        0.030
2022,156,392,970610,4313.213,        0.258
2022,156,410,970610,1.359,        0.066
2022,156,422,970610,9395.0,        0.628
2022,156,440,970610,0.345,           NA
2022,156,446,970610,503.505,        0.040
2022,156,458,970610,9.553,        0.003
2022,156,490,970610,10.103,        0.010
2022,156,528,970610,4995.008,        1.064
2022,156,554,970610,1.53,           NA
2022,156,579,970610,5.852,        0.008
2022,156,586,970610,7820.0,        0.430
2022,156,620,970610,13.679,        0.035
2022,156,702,970610,272.753,        0.704
2022,156,703,970610,0.764,        0.007
2022,156,710,970610,0.638,        0.021
2022,156,724,970610,3.224,        0.027
2022,156,752,970610,6.411,           NA
2022,156,757,970610,738.303,        0.425
2022,156,784,970610,1339.808,        0.192
2022,156,826,970610,2289.497,        1.631
2022,156,842,970610,13556.478,      121.675
