t,i,j,k,v,q
2022,410,36,970610,0.636,        0.004
2022,410,36,970690,45.238,        0.002
2022,410,56,970610,0.123,        0.007
2022,410,56,970690,0.29,        0.004
2022,410,116,970690,0.036,        0.002
2022,410,156,970610,3.452,        0.005
2022,410,156,970690,7.2,        0.170
2022,410,203,970610,6.105,        0.001
2022,410,208,970610,1.838,        0.050
2022,410,251,970610,0.595,        0.016
2022,410,251,970690,5.943,        0.084
2022,410,276,970610,0.174,        0.003
2022,410,276,970690,5.754,        0.033
2022,410,344,970610,0.649,        0.002
2022,410,344,970690,100.606,        0.080
2022,410,372,970610,0.107,           NA
2022,410,392,970610,166.636,        0.001
2022,410,392,970690,1.804,        0.006
2022,410,496,970690,0.175,        0.025
2022,410,608,970690,0.043,        0.001
2022,410,702,970690,0.018,        0.001
2022,410,752,970610,0.094,           NA
2022,410,752,970690,0.091,        0.002
2022,410,757,970610,0.675,        0.001
2022,410,757,970690,0.169,        0.003
2022,410,784,970690,68.128,        0.030
2022,410,792,970690,0.209,        0.001
2022,410,826,970610,26.725,        0.008
2022,410,826,970690,45.535,        0.038
2022,410,842,970610,524.572,        1.215
2022,410,842,970690,362.217,        1.735
